Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,SoTA,Save%,CS%,PenSave%,FK,CK,PSxG,PSxG/SoT,PSxG+/-,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp%,#OPA,AvgDist
112,Mike Maignan,fr FRA,GK,Milan,it Serie A,26,1995,32,32,2880,32,0.66,3.16,81.2,53.1,0,0,0.13,0.88,0.26,0.25,6.84,14.1,48.7,31.3,4.81,38.3,36.7,4.63,44.6,40.7,6.59,12.3,0.81,0.48
113,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,20,2000,18,18,1620,18,1.11,4.11,75.7,44.4,0,0,0.11,1,0.22,-0.11,7.78,18.8,41.4,19.3,3.17,62.9,46.8,8.17,81,59,9.44,8.8,0.89,0.81
114,Steve Mandanda,fr FRA,GK,Marseille,fr Ligue 1,36,1985,9,9,810,9,0.78,2.89,73.1,55.6,0,0,0.33,0.6,0.21,-0.07,6,13.8,43.5,36.9,4.11,29.2,32,7.11,42.2,40.4,9,7.4,1.44,2.07
115,Anthony Mandrea,dz ALG,GK,Angers,fr Ligue 1,24,1996,10,10,900,10,1.4,4.5,68.9,20,0,0,0.3,1.37,0.31,0.07,4.2,15.1,27.8,18.9,4,54,44.7,8.6,57,47,12.2,4.1,0.3,1.27
116,Davide Marfella,it ITA,GK,Napoli,it Serie A,21,1999,1,0,11,0.1,0,10,100,0,0,0,0,5,0.45,5,0,0,0,10,10,0,10,0,0,0,0,0,0,0
117,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,28,1992,36,36,3240,36,1.33,3.78,67.6,30.6,20,0.06,0.17,1.13,0.27,-0.14,5.69,13.6,41.8,22.4,3.92,45.1,38.7,7.61,46.4,40,7.83,6,0.69,0.39
118,Josep Martinez,es ESP,GK,RB Leipzig,de Bundesliga,23,1998,1,1,90,1,3,4,25,0,0,0,0,1.9,0.48,-1.1,2,5,40,15,1,26.7,35.1,7,14.3,34.3,3,0,3,26.5
119,Luís Maximiano,pt POR,GK,Granada,es La Liga,22,1999,35,35,3136,34.8,1.58,4.89,70.6,20,28.6,0,0.23,1.68,0.31,0.15,7.61,22.3,34.2,24.1,4.17,61.6,47.2,9.66,77.1,55.7,10.8,6.9,1.18,0.46
120,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,31,1989,17,17,1530,17,1.59,4.18,62,29.4,0,0,0.41,1.46,0.36,-0.13,4.88,15.8,31,22.5,4.29,46.5,39.9,7.47,70.9,53.6,8.94,11.2,0.18,0.71
121,Edouard Mendy,sn SEN,GK,Chelsea,eng Premier League,29,1992,34,34,3060,34,0.91,2.79,73.7,41.2,0,0,0.03,0.87,0.26,-0.01,3.35,7.29,46,22.4,3.79,24.8,28.7,5.18,33.5,30.3,7.15,7.8,0.56,0.41
122,Alex Meret,it ITA,GK,Napoli,it Serie A,24,1997,7,7,619,6.9,0.87,4.2,79.3,42.9,0,0,0,0.93,0.22,0.06,3.04,5.36,56.8,22.6,6.23,19.2,27.2,5.36,18.9,27.3,8.26,5.3,0.43,1.84
